JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2440125.7	9.8			Vis.	AC								V				S VUL		STD				
2440126.7	9.5			Vis.	HR								V				S VUL		STD				
2440126.8	9.5			Vis.	CR								V				S VUL		STD				
2440127.6	9.5			Vis.	LX								V				S VUL		STD				
2440127.7	9.9			Vis.	AC								V				S VUL		STD				
2440128.6	9.9			Vis.	AC								V				S VUL		STD				
2440129.6	9.8			Vis.	AC								V				S VUL		STD				
2440129.6	9.2			Vis.	OV								V				S VUL		STD				
2440130.6	9.9			Vis.	AC								V				S VUL		STD				
2440131.6	9.5			Vis.	LX								V				S VUL		STD				
2440131.7	9.3			Vis.	HE								V				S VUL		STD				
2440134.6	9.4			Vis.	LX								V				S VUL		STD				
2440139.6	9.1			Vis.	LX								V				S VUL		STD				
2440140.6	9.9			Vis.	AC								V				S VUL		STD				
2440141.6	9.7			Vis.	AC								V				S VUL		STD				
2440142.6	9.3			Vis.	HE								V				S VUL		STD				
2440143.5	9.3			Vis.	LX								V				S VUL		STD				
2440143.6	9.3			Vis.	HE								V				S VUL		STD				
2440146.6	9.0			Vis.	LX								V				S VUL		STD				
2440150.5	8.9			Vis.	LX								V				S VUL		STD				
2440150.5	8.9			Vis.	OV								V				S VUL		STD				
2440150.6	9.3			Vis.	HE								V				S VUL		STD				
2440151.6	8.7			Vis.	OV								V				S VUL		STD				
2440153.5	8.8			Vis.	LX								V				S VUL		STD				
2440153.5	9.0			Vis.	OV								V				S VUL		STD				
2440154.7	9.5			Vis.	CR								V				S VUL		STD				
2440155.6	9.7			Vis.	AC								V				S VUL		STD				
2440156.6	9.3			Vis.	HE								V				S VUL		STD				
2440157.6	9.1			Vis.	LX								V				S VUL		STD				
2440159.6	9.4			Vis.	HE								V				S VUL		STD				
2440159.6	9.0			Vis.	LX								V				S VUL		STD				
2440160.6	9.7			Vis.	AC								V				S VUL		STD				
2440161.6	9.0			Vis.	LX								V				S VUL		STD				
2440162.6	9.4			Vis.	HE								V				S VUL		STD				
2440163.5	9.1			Vis.	LX								V				S VUL		STD				
2440171.5	9.1			Vis.	LX								V				S VUL		STD				
2440171.7	9.5			Vis.	HE								V				S VUL		STD				
2440174.6	9.5			Vis.	HE								V				S VUL		STD				
2440174.6	9.1			Vis.	LX								V				S VUL		STD				
2440181.6	9.2			Vis.	LX								V				S VUL		STD				
2440181.7	9.7			Vis.	AC								V				S VUL		STD				
2440182.6	9.5			Vis.	HE								V				S VUL		STD				
2440184.6	9.5			Vis.	HE								V				S VUL		STD				
2440185.2917	9.6			Vis.	LKS								V				S VUL		STD				
2440187.5	9.7			Vis.	AC								V				S VUL		STD				
2440188.6	9.7			Vis.	AC								V				S VUL		STD				
2440193.7	9.5			Vis.	CR								V				S VUL		STD				
2440196.5	9.6			Vis.	HE								V				S VUL		STD				
2440197.5	9.5			Vis.	LX								V				S VUL		STD				
2440198.5	9.7			Vis.	AC								V				S VUL		STD				
2440198.6	9.6			Vis.	HE								V				S VUL		STD				
2440199.4	9.5			Vis.	LX								V				S VUL		STD				
2440200.5	9.6			Vis.	HE								V				S VUL		STD				
2440215.6	9.7			Vis.	AC								V				S VUL		STD				
2440264.9	9.7			Vis.	AC								V				S VUL		STD				
2440265.8	9.7			Vis.	AC								V				S VUL		STD				
2440298.9	9.6			Vis.	AC								V				S VUL		STD				
2440300.0	9.5			Vis.	AC								V				S VUL		STD				
2440323.8	9.4			Vis.	LX								V				S VUL		STD				
2440330.9	9.6			Vis.	AC								V				S VUL		STD				
2440332.7	9.5			Vis.	LX								V				S VUL		STD				
2440332.8	9.3			Vis.	FD								V				S VUL		STD				
2440334.8	9.6			Vis.	AC								V				S VUL		STD				
2440335.9	9.6			Vis.	AC								V				S VUL		STD				
2440336.8	9.6			Vis.	AC								V				S VUL		STD				
2440336.8	9.3			Vis.	FD								V				S VUL		STD				
2440340.8	9.6			Vis.	AC								V				S VUL		STD				
2440351.7	9.8			Vis.	HE								V				S VUL		STD				
2440353.8	9.6			Vis.	AC								V				S VUL		STD				
2440354.7	9.5			Vis.	AC								V				S VUL		STD				
2440355.9	9.4			Vis.	AC								V				S VUL		STD				
2440361.9	9.4			Vis.	AC								V				S VUL		STD				
2440366.8	9.7			Vis.	HE								V				S VUL		STD				
