JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2454521.2361	5.7			Vis.	REP		55	58	1990		0		Z				RT AUR		STD				
2454521.23819	5.6			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454521.2813	5.9			Vis.	MKW		44	55	ATLAS		0		Z				RT AUR		STD				
2454521.3090	5.7			Vis.	PLP		55	58	971201				Z				RT AUR		STD				
2454521.3319	5.7			Vis.	LMT	B	55	58	12/97		0		Z				RT AUR		STD				
2454521.38194	5.9			Vis.	SSW		57	60	080120				Z				RT AUR		STD				
2454521.4076	5.6			Vis.	SYI	TO	53	58		RT AUR = 5.61 MAG	0		Z				RT AUR		STD				
2454522.3153	5.3			Vis.	LMT	BH	50	55	12/97		0		Z				RT AUR		STD				
2454522.33257	5.55			Vis.	GFT		50	58	SA1997				Z				RT AUR		STD				
2454522.4292	5.4			Vis.	REP		50	55	1990		0		Z				RT AUR		STD				
2454522.61736	4.9			Vis.	AAP		44	50	SA12/97				Z				RT AUR		STD				
2454523.24028	5.0			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454523.2931	5.2			Vis.	REP		50	55	1990		0		Z				RT AUR		STD				
2454523.3111	4.9			Vis.	LMT	BH	44	50	12/97		0		Z				RT AUR		STD				
2454523.38194	5.2			Vis.	SSW		54	57	080120				Z				RT AUR		STD				
2454523.4069	5.0			Vis.	SYI	TOS	53	58		RT AUR = 4.95 MAG	0		Z				RT AUR		STD				
2454524.3146	5.6			Vis.	REP		55	58	1990		0		Z				RT AUR		STD				
2454525.24097	5.8			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454525.3250	5.8			Vis.	REP		55	58	1990		0		Z				RT AUR		STD				
2454525.37431	5.75			Vis.	SSW	K	57	60	080120				Z				RT AUR		STD				
2454525.3819	5.8			Vis.	SYI	TO	53	58		RT AUR = 5.83 MAG	0		Z				RT AUR		STD				
2454525.64792	5.7			Vis.	AAP		55	58	SA12/97				Z				RT AUR		STD				
2454527.29444	5.2			Vis.	RZM		50	58	860101				Z				RT AUR		STD				
2454527.3181	5.1			Vis.	CME		NA		NA				Z				RT AUR		STD				
2454529.5431	5.9			Vis.	WSN		5.8	6.0	sa1297				Z				RT AUR		STD				
2454530.24306	5.1			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454531.2611	5.5			Vis.	REP	K	NA		NA				Z				RT AUR		STD				
2454531.3014	5.3			Vis.	MKW		44	55	ATLAS		0		Z				RT AUR		STD				
2454531.35139	5.4			Vis.	GFT		50	58	SA1997				Z				RT AUR		STD				
2454531.35486	5.4			Vis.	SSW		54	57	080120				Z				RT AUR		STD				
2454532.25069	5.5			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454532.2938	5.8			Vis.	REP	K	NA		NA				Z				RT AUR		STD				
2454532.33681	5.9			Vis.	SSW		57	60	080120				Z				RT AUR		STD				
2454532.4188	5.6			Vis.	SYI	TO	53	58		RT AUR = 5.63 MAG	0		Z				RT AUR		STD				
2454533.24792	5.7			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454533.37	5.8			V	BOA						0		Z				RT AUR		STD				
2454533.4264	5.6			Vis.	SYI	TO	53	58		RT AUR = 5.64 MAG	0		Z				RT AUR		STD				
2454533.64444	5.2			Vis.	AAP		50	55	SA12/97				Z				RT AUR		STD				
2454534.4056	5.2			Vis.	REP	K	NA		NA				Z				RT AUR		STD				
2454534.63958	5.2			Vis.	AAP		50	55	SA12/97				Z				RT AUR		STD				
2454535.3090	5.6			Vis.	REP	K	NA		NA				Z				RT AUR		STD				
2454535.3104	5.3			Vis.	LMT	BH	50	55	12/97		0		Z				RT AUR		STD				
2454535.67847	5.5			Vis.	AAP		50	55	SA12/97				Z				RT AUR		STD				
2454536.2917	5.8			Vis.	MKW		43	53	J		0		Z				RT AUR		STD				
2454536.35139	5.9			Vis.	SSW		57	60	080120				Z				RT AUR		STD				
2454536.3528	5.8			Vis.	REP	K	NA		NA				Z				RT AUR		STD				
2454536.56528	5.6			Vis.	BEB		55	58	0368				Z				RT AUR		STD				
2454537.2674	5.6			Vis.	REP	K	NA		NA				Z				RT AUR		STD				
2454537.3160	5.3			Vis.	PLP		50	55	971201				Z				RT AUR		STD				
2454538.2493	5.0			Vis.	REP	K	NA		NA				Z				RT AUR		STD				
2454538.3403	5.2			Vis.	PLP		50	55	971201				Z				RT AUR		STD				
2454538.3451	4.9			Vis.	CME	W	NA		NA				Z				RT AUR		STD				
2454539.3403	5.6			Vis.	PLP		55	58	971201				Z				RT AUR		STD				
2454542.2986	5.1			Vis.	PLP		50	55	971201				Z				RT AUR		STD				
2454544.25625	5.7			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454544.31806	5.75			Vis.	SSW	B	57	60	080120				Z				RT AUR		STD				
2454544.32951	5.55			Vis.	GFT		50	58	SA1997				Z				RT AUR		STD				
2454544.4403	5.6			Vis.	SYI	TO	53	58		RT AUR = 5.62 MAG	0		Z				RT AUR		STD				
2454545.25486	5.0			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454545.3924	5.0			Vis.	PLP		50	55	971201				Z				RT AUR		STD				
2454546.30486	5.45			Vis.	SSW	B	54	57	080120				Z				RT AUR		STD				
2454546.31042	5.2			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454546.3299	5.4			Vis.	PLP		50	55	971201				Z				RT AUR		STD				
2454547.3576	5.8			Vis.	PLP		58	60	971201				Z				RT AUR		STD				
2454547.67014	5.7			Vis.	AAP		55	58	SA12/97				Z				RT AUR		STD				
2454548.2653	5.8			Vis.	REP	K	NA		NA				Z				RT AUR		STD				
2454548.27361	5.6			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454548.3542	5.7			Vis.	PLP		55	60	971201				Z				RT AUR		STD				
2454548.3750	5.3			Vis.	CME	B	NA		NA				Z				RT AUR		STD				
2454549.3111	4.9			Vis.	CME		NA		NA				Z				RT AUR		STD				
2454550.3056	5.6			Vis.	PLP		55	58	971201				Z				RT AUR		STD				
2454551.30000	5.6			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454551.3681	5.7			Vis.	PLP		55	58	971201				Z				RT AUR		STD				
2454551.66389	5.7			Vis.	AAP		55	58	SA12/97				Z				RT AUR		STD				
2454552.26250	5.4			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454552.33889	5.4			Vis.	SSW		54	57	080120		0		Z				RT AUR		STD				
2454552.4083	5.4			Vis.	SYI	TO	53	58		RT AUR = 5.39 MAG	0		Z				RT AUR		STD				
2454552.6583	4.8			Vis.	AAP		44	50	SA12/97				Z				RT AUR		STD				
2454553.27847	5.1			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454553.3931	5.0			Vis.	SYI	TOS	53	58		RT AUR = 5.O1 MAG	0		Z				RT AUR		STD				
2454554.3222	5.3			Vis.	CME		NA		NA				Z				RT AUR		STD				
2454554.33611	5.45			Vis.	GFT		50	58	SA1997				Z				RT AUR		STD				
2454554.3472	5.7			Vis.	PLP		55	58	971201				Z				RT AUR		STD				
2454554.70069	5.6			Vis.	AAP		55	58	SA12/97				Z				RT AUR		STD				
2454555.3056	5.8			Vis.	PLP		55	58	971201				Z				RT AUR		STD				
2454555.3382	5.8			Vis.	REP	K	NA		NA				Z				RT AUR		STD				
2454555.34444	5.7			Vis.	GFT		50	58	SA1997				Z				RT AUR		STD				
2454556.27569	5.0			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454556.28889	5.1			Vis.	SSW		43	54	080120				Z				RT AUR		STD				
2454556.3375	5.0			Vis.	REP	K	NA		NA				Z				RT AUR		STD				
2454556.3840	4.9			Vis.	SYI	TOS	53	58		RT AUR = 4.88 MAG	0		Z				RT AUR		STD				
2454556.65764	5.1			Vis.	AAP		50	55	SA12/97				Z				RT AUR		STD				
2454557.27083	5.3			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454557.29861	5.4			Vis.	SSW		54	57	080120				Z				RT AUR		STD				
2454557.3486	5.7			Vis.	REP	K	NA		NA				Z				RT AUR		STD				
2454557.3847	5.5			Vis.	SYI	TO	53	58		RT AUR = 5.49 MAG	0		Z				RT AUR		STD				
2454557.65417	5.3			Vis.	AAP		50	55	SA12/97				Z				RT AUR		STD				
2454558.2951	5.6			Vis.	PLP		55	58	971201				Z				RT AUR		STD				
2454559.3021	5.8			Vis.	PLP		55	58	971201				Z				RT AUR		STD				
2454559.66042	5.8			Vis.	AAP		55	58	SA12/97				Z				RT AUR		STD				
2454560.3229	5.0			Vis.	PLP		50	55	971201				Z				RT AUR		STD				
2454561.33229	5.2			Vis.	GFT		50	58	SA1997				Z				RT AUR		STD				
2454561.3403	5.5			Vis.	PLP		55	58	971201				Z				RT AUR		STD				
2454562.3069	5.8			Vis.	REP	KW	NA		NA				Z				RT AUR		STD				
2454562.3438	5.7			Vis.	PLP		55	58	971201		0		Z				RT AUR		STD				
2454563.3576	5.8			Vis.	PLP	U	55	58	971201	HAZE			Z				RT AUR		STD				
2454563.5889	5.2			Vis.	WSN		5.0	5.5	sa1297				Z				RT AUR		STD				
2454564.27500	4.9			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454564.67222	5.3			Vis.	AAP		50	55	SA12/97				Z				RT AUR		STD				
2454565.67361	5.7			Vis.	AAP		55	58	SA12/97				Z				RT AUR		STD				
2454567.67014	4.9			Vis.	AAP	B	44	50	SA12/97	MOON			Z				RT AUR		STD				
2454569.66806	5.5			Vis.	AAP		55	58	SA12/97				Z				RT AUR		STD				
2454570.27847	5.7			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454570.30694	5.8			Vis.	SSW		57	60	080120				Z				RT AUR		STD				
2454570.3812	5.8			Vis.	SYI	TO	58			RT AUR = 5.75 MAG	0		Z				RT AUR		STD				
2454571.28194	5.0			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454571.3722	5.0			Vis.	SYI	TO	"43,53"			RT AUR = 5.04 MAG	0		Z				RT AUR		STD				
2454572.3090	5.4			Vis.	PLP		50	55	971201				Z				RT AUR		STD				
2454572.5889	5.4			Vis.	WSN		5.0	5.5	sa1297				Z				RT AUR		STD				
2454572.68611	5.4			Vis.	AAP		50	55	SA12/97				Z				RT AUR		STD				
2454573.5743	5.4			Vis.	WSN		5.9	5.5	sa1297				Z				RT AUR		STD				
2454574.68750	5.2			Vis.	AAP		50	55	SA12/97				Z				RT AUR		STD				
2454576.3160	5.5			Vis.	PLP	U	50	58	971201				Z				RT AUR		STD				
2454577.3104	5.8			Vis.	REP	K	NA		NA				Z				RT AUR		STD				
2454578.30417	5.5			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454579.3299	5.1			Vis.	PLP		50	55	971201				Z				RT AUR		STD				
2454579.70000	5.3			Vis.	AAP		50	55	SA12/97				Z				RT AUR		STD				
2454580.3972	5.5			Vis.	MKW		43	53	J		0		Z				RT AUR		STD				
2454581.29583	5.6			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454581.3271	5.8			Vis.	REP	K	NA		NA				Z				RT AUR		STD				
2454581.3326	5.5			Vis.	CME	U	NA		NA				Z				RT AUR		STD				
2454581.34	5.5			Vis.	BQ	W	5.5	5.9	a				Z				RT AUR		STD				
2454581.3403	5.9			Vis.	PLP		58	63	971201				Z				RT AUR		STD				
2454582.3264	5.0			Vis.	PLP	U	50	55	971201	SOME CLOUDS			Z				RT AUR		STD				
2454582.36	5.6			Vis.	BQ	W	5.5	5.8	a				Z				RT AUR		STD				
2454583.31111	5.3			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454583.3368	5.3			Vis.	PLP		50	58	971201				Z				RT AUR		STD				
2454583.34	5.4			Vis.	BQ	U	5.5	5.8	a				Z				RT AUR		STD				
2454583.3556	4.9			Vis.	CME	U	NA		NA				Z				RT AUR		STD				
2454583.70069	5.3			Vis.	AAP		50	55	SA12/97				Z				RT AUR		STD				
2454584.30069	5.6			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454584.31	5.4			Vis.	BQ		5.5		a				Z				RT AUR		STD				
2454584.3118	5.6			Vis.	REP	K	NA		NA				Z				RT AUR		STD				
2454584.4028	5.4			Vis.	MKW		43	53	J		0		Z				RT AUR		STD				
2454585.31181	5.6			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454585.34	5.6			Vis.	BQ		5.5		a				Z				RT AUR		STD				
2454586.31806	5.0			Vis.	RZM		50		971201				Z				RT AUR		STD				
2454586.3229	4.8			Vis.	PLP		44	50	971201				Z				RT AUR		STD				
2454586.3486	4.7			Vis.	CME	U	NA		NA				Z				RT AUR		STD				
2454587.30347	5.2			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454587.3514	5.1			Vis.	CME	U	NA		NA				Z				RT AUR		STD				
2454589.31111	5.6			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454589.3681	5.4			Vis.	PLP	U	50	55	971201				Z				RT AUR		STD				
2454590.3417	5.1			Vis.	PLP		50	55	971201				Z				RT AUR		STD				
2454590.3736	5.3			Vis.	MKW		43	53	J		0		Z				RT AUR		STD				
2454590.4340	4.8			Vis.	CME		NA		NA				Z				RT AUR		STD				
2454590.71389	5.3			Vis.	AAP		50	55	SA12/97				Z				RT AUR		STD				
2454591.3403	5.5			Vis.	PLP		55	58	971201				Z				RT AUR		STD				
2454593.3542	5.4			Vis.	PLP		50	55	971201				Z				RT AUR		STD				
2454593.4278	5.3			Vis.	CME		NA		NA				Z				RT AUR		STD				
2454595.72153	5.7			Vis.	AAP	B	55	58			0		Z				RT AUR		STD				
2454596.32	5.5			Vis.	BQ	BU	5.3	5.8	a				Z				RT AUR		STD				
2454596.71944	5.7			Vis.	AAP	B	55	58	SA12/97	MOON			Z				RT AUR		STD				
2454598.4153	5.2			Vis.	MKW		43	53	J	M-6D	0		Z				RT AUR		STD				
2454599.73264	5.8			Vis.	AAP		55	58	SA12/97				Z				RT AUR		STD				
2454602.73542	5.7			Vis.	AAP		55	58	SA12/97				Z				RT AUR		STD				
2454689.5521	5.6			Vis.	SYI	TO	"53,58"			RT AUR = 5.62 MAG	0		Z				RT AUR		STD				
2454707.67569	5.8			Vis.	GFT		58		SA1997				Z				RT AUR		STD				
2454708.68472	5.8			Vis.	GFT		58		SA1997				Z				RT AUR		STD				
2454710.59236	5.4			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454712.60069	5.4			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454713.59306	5.1			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454714.8500	5.7			Vis.	HAV		53	58	1009VAS				Z				RT AUR		STD				
2454716.5549	5.1			Vis.	SYI	TO	"43,53"			RT AUR = 5.08 MAG	0		Z				RT AUR		STD				
2454716.60833	4.9			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454717.68542	5.2			Vis.	GFT		50	58	SA1997				Z				RT AUR		STD				
2454719.67465	5.65			Vis.	GFT		50	58	SA1997				Z				RT AUR		STD				
2454723.67535	5.6			Vis.	GFT		50	58	SA1997				Z				RT AUR		STD				
2454725.64514	5.3			Vis.	GFT		50	58	SA1997				Z				RT AUR		STD				
2454726.69028	6.0			Vis.	GFT		58		SA1997				Z				RT AUR		STD				
2454729.69444	5.65			Vis.	GFT		50	58	SA1997				Z				RT AUR		STD				
2454736.67431	5.5			Vis.	GFT		50	58	SA1997				Z				RT AUR		STD				
2454737.59236	5.6			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454737.67431	5.65			Vis.	GFT		50	58	SA1997				Z				RT AUR		STD				
2454738.60625	5.4			Vis.	RZM		50	58	971201				Z				RT AUR		STD				
2454738.69097	5.7			Vis.	GFT		50	58	SA1997				Z				RT AUR		STD				
2454742.70417	4.9			Vis.	GFT		44	50	SA1997				Z				RT AUR		STD				
2454743.70729	5.1			Vis.	GFT		50	58	SA1997	 chart questioned			Z				RT AUR		STD				
2454744.71597	5.55			Vis.	GFT		50	58	SA1997	 chart questioned			Z				RT AUR		STD				
2454748.71667	5.45			Vis.	GFT		50	58	SA1997				Z				RT AUR		STD				
2454749.69514	5.55			Vis.	GFT		50	58	SA1997				Z				RT AUR		STD				
2454749.8160	5.7			Vis.	WSN		5.5	5.8	sa1297				Z				RT AUR		STD				
2454750.67292	4.9			Vis.	GFT		44	50	SA1997				Z				RT AUR		STD				
2454751.48125	5.3			Vis.	SSW		53	58	1026zu				Z				RT AUR		STD				
2454756.67292	5.65			Vis.	GFT		50	58	SA1997				Z				RT AUR		STD				
2454758.69722	5.2			Vis.	GFT		50	58	SA1997				Z				RT AUR		STD				
2454759.68750	5.25			Vis.	GFT		50	58	SA1997				Z				RT AUR		STD				
2454763.66458	5.6			Vis.	GFT		50	58	SA1997				Z				RT AUR		STD				
2454764.71806	5.2			Vis.	GFT		50	58	SA1997				Z				RT AUR		STD				
2454765.68819	5.0			Vis.	GFT		50		SA1997				Z				RT AUR		STD				
2454766.40417	5.2			Vis.	SSW		43	53	1026zu				Z				RT AUR		STD				
2454769.73403	5.4			Vis.	LRD		54	57	080211				Z				RT AUR		STD				
2454769.8174	5.4			Vis.	WSN		5.0	5.5	sa1297				Z				RT AUR		STD				
2454770.4299	5.3			Vis.	CME		NA		NA				Z				RT AUR		STD				
2454770.73750	5.6			Vis.	GFT		50	56	SA1997				Z				RT AUR		STD				
2454770.8125	5.7			Vis.	WSN		5.5	5.8	sa1297				Z				RT AUR		STD				
2454774.7423	5.55			Vis.	GFT		NA		NA				Z				RT AUR		STD				
2454774.74236	5.55			Vis.	GFT		50	58	SA1997				Z				RT AUR		STD				
2454774.8049	5.8			Vis.	WSN		5.5	5.8	sa1297				Z				RT AUR		STD				
2454775.8389	5.9			Vis.	WSN		5.8	6.0	sa1297				Z				RT AUR		STD				
2454776.3972	4.9			Vis.	REP	K	NA		NA				Z				RT AUR		STD				
2454776.8299	4.9			Vis.	WSN		4.4	5.0	sa1297				Z				RT AUR		STD				
2454777.8083	5.6			Vis.	WSN		5.5	5.8	sa1297				Z				RT AUR		STD				
2454780.47222	5.2			Vis.	SSW		43	53	1026zu				Z				RT AUR		STD				
2454781.8007	5.7			Vis.	WSN		5.5	5.8	sa1297				Z				RT AUR		STD				
2454789.7951	5.9			Vis.	WSN		5.8	6.0	sa1297				Z				RT AUR		STD				
2454792.62639	5.6			Vis.	SSW		53	58	1026zu				Z				RT AUR		STD				
2454792.7993	5.7			Vis.	WSN		5.5	5.8	sa1297				Z				RT AUR		STD				
2454794.3021	5.9			Vis.	KTHA	K	NA		TYCHO2				Z				RT AUR	SAAF	STD				
2454795.8069	5.2			Vis.	WSN		5.0	5.5	sa1297				Z				RT AUR		STD				
2454797.8444	5.7			Vis.	WSN		5.5	5.8	sa1297				Z				RT AUR		STD				
2454798.3660	5.6			Vis.	REP	K	NA		NA				Z				RT AUR		STD				
2454798.7764	4.9			Vis.	WSN		4.4	5.0	sa1297				Z				RT AUR		STD				
2454799.8042	5.4			Vis.	WSN		5.0	5.5	sa1297				Z				RT AUR		STD				
2454803.5021	5.3			Vis.	WSN		5.0	5.5	sa1297				Z				RT AUR		STD				
2454804.3375	5.7			Vis.	REP	K	NA		NA				Z				RT AUR		STD				
2454805.3729	5.6			Vis.	REP	KW	NA		NA				Z				RT AUR		STD				
2454805.8021	5.4			Vis.	WSN		5.0	5.5	sa1297				Z				RT AUR		STD				
2454806.6681	5.2			Vis.	REP	K	NA		NA				Z				RT AUR		STD				
2454811.71796	5.5			Vis.	LRD	B	54	57	080211				Z				RT AUR		STD				
2454820.2951	5.5			Vis.	CME	U	NA		NA				Z				RT AUR		STD				
2454820.3854	5.8			Vis.	REP	KW	NA		NA				Z				RT AUR		STD				
2454821.2993	4.8			Vis.	CME	U	NA		NA				Z				RT AUR		STD				
2454821.62153	5.1			Vis.	AAP		50	55	SA12/97				Z				RT AUR		STD				
2454823.3069	5.8			Vis.	REP	K	NA		NA				Z				RT AUR		STD				
2454824.3361	5.7			Vis.	REP	K	NA		NA				Z				RT AUR		STD				
2454824.61736	4.9			Vis.	AAP		44	50	SA12/97				Z				RT AUR		STD				
2454825.60903	5.2			Vis.	AAP		50	55	SA12/97				Z				RT AUR		STD				
