Results from heasarc_fermigbrst: Fermi GBM Burst Catalog
Coordinate system:  Equatorial
|name        |ra        |dec      |trigger_time           |t90     |t90_error|t90_start|fluence   |fluence_error|flux_1024|flux_1024_error|flux_1024_time|flux_64  |flux_64_error|flnc_band_ampl|flnc_band_ampl_pos_err|flnc_band_ampl_neg_err|flnc_band_epeak|flnc_band_epeak_pos_err|flnc_band_epeak_neg_err|flnc_band_alpha|flnc_band_alpha_pos_err|flnc_band_alpha_neg_err|flnc_band_beta|flnc_band_beta_pos_err|flnc_band_beta_neg_err|flnc_spectrum_start|flnc_spectrum_stop|pflx_best_fitting_model|pflx_best_model_redchisq|flnc_best_fitting_model|flnc_best_model_redchisq|
|GRB150602840|19 19 28.8|-74 12 36|2015-06-02 20:09:18.637|  10.496|    0.724|   -0.256|4.7133e-06|   3.3325e-08|   3.6651|         0.2070|         6.080|   6.4854|       0.9903|  2.392247e-02|          3.419951e-03|          3.419951e-03|   1.991178e+02|           1.383052e+01|           1.383052e+01|   2.917515e-02|           1.124966e-01|           1.124966e-01| -2.636471e+00|          3.162894e-01|          3.162894e-01|             -2.048|            11.264|pflx_comp              |                   0.954|flnc_comp              |                   1.127|
|GRB110517453|19 44 21.6|-73 45 36|2011-05-17 10:52:35.409|   0.576|    1.810|   -0.064|9.8898e-08|   2.3388e-08|   1.0898|         0.1964|        -0.128|   5.7809|       1.0357|  6.891558e-01|          4.966782e+00|          4.966782e+00|   7.692642e+01|           3.440377e+01|           3.440377e+01|   1.431132e+00|           2.261681e+00|           2.261681e+00| -1.411466e+00|          4.824792e-01|          4.824792e-01|             -0.064|             0.128|pflx_plaw              |                   0.866|flnc_plaw              |                   1.033|
|GRB170304003|22 02 00.0|-73 45 36|2017-03-04 00:04:26.070|   0.160|    0.315|   -0.016|3.1497e-07|   1.4268e-08|   3.7259|         0.2032|        -0.384|  24.1403|       1.4990|  1.255286e-01|          7.482499e-02|          7.482499e-02|   6.234780e+01|           1.406209e+01|           1.406209e+01|  -7.489867e-01|           4.620984e-01|           4.620984e-01| -2.311259e+00|          1.313602e+00|          1.313602e+00|             -0.064|             0.192|pflx_comp              |                   0.901|flnc_comp              |                   1.120|
|GRB130425327|01 11 07.2|-72 51 00|2013-04-25 07:51:16.235|  62.209|    1.145|    1.856|4.1678e-05|   1.5891e-07|  23.7205|         1.1432|        43.521|  29.0941|       4.8012|  2.114495e-02|          7.226039e-04|          7.226039e-04|   2.789901e+02|           1.341840e+01|           1.341840e+01|  -1.270222e+00|           2.901387e-02|           2.901387e-02| -7.858543e+00|          4.912049e+02|          4.912049e+02|             -3.072|            69.632|pflx_comp              |                   1.011|flnc_comp              |                   1.148|
|GRB160325291|01 02 36.5|-72 41 48|2016-03-25 06:59:21.511|  42.945|    0.572|    2.048|1.8598e-05|   1.9812e-07|   8.4835|         0.3067|         9.472|  11.2867|       1.2151|  1.748124e-02|          9.069480e-04|          9.069480e-04|   2.396573e+02|           1.364874e+01|           1.364874e+01|  -7.474475e-01|           3.758866e-02|           3.758866e-02| -2.320336e+00|          1.537242e-01|          1.537242e-01|             -3.072|            71.680|pflx_comp              |                   1.014|flnc_band              |                   1.195|
|GRB100926595|14 51 00.0|-72 21 00|2010-09-26 14:17:03.943|  32.256|    0.572|  -24.064|6.9728e-06|   1.5918e-08|   8.4358|         0.3717|         0.384|  11.1214|       1.7229|  5.834559e-02|          3.462755e-02|          3.462755e-02|   5.201727e+01|           6.617909e+00|           6.617909e+00|  -3.982478e-01|           2.569972e-01|           2.569972e-01| -2.020551e+00|          5.763428e-02|          5.763428e-02|            -28.033|             9.856|pflx_comp              |                   1.088|flnc_sbpl              |                   1.237|
|GRB141022061|16 07 36.2|-72 07 44|2014-10-22 01:27:48.520|  11.520|    3.083|   -5.376|5.6020e-07|   2.4573e-08|   1.0794|         0.1658|        -5.696|   2.9500|       1.5598|  6.794114e-03|          4.462180e-03|          4.462180e-03|   1.382681e+02|           5.028813e+01|           5.028813e+01|  -8.222713e-01|           4.179046e-01|           4.179046e-01| -1.192093e+01|          5.098204e+05|          5.098204e+05|             -6.144|             0.000|pflx_plaw              |                   1.024|flnc_plaw              |                   0.987|
|GRB170113420|04 06 56.4|-71 55 59|2017-01-13 10:04:10.110|  49.152|    4.136|   -4.096|2.0371e-06|   7.9106e-08|   2.9311|         0.3840|         4.480|   6.7633|       2.3153|  4.376764e-03|          1.618571e-03|          1.618571e-03|   1.125081e+02|           5.878961e+01|           5.878961e+01|  -1.703981e+00|           2.231841e-01|           2.231841e-01| -2.046363e+01|          2.383923e+10|          2.383923e+10|             -5.120|            19.456|pflx_plaw              |                   1.064|flnc_plaw              |                   1.013|
|GRB180801492|00 13 31.2|-70 40 48|2018-08-01 11:48:42.170|   7.424|    1.145|   -0.512|1.3352e-06|   2.3641e-08|   5.0017|         0.2765|         2.240|   6.3838|       1.2821|              |                      |                      |               |                       |                       |               |                       |                       |              |                      |                      |                   |                  |                       |                        |                       |                        |
|GRB171212434|02 37 45.6|-70 37 12|2017-12-12 10:24:18.513|  32.001|    1.379|   -1.024|5.0312e-06|   6.7805e-08|   5.0345|         0.2812|        27.008|   8.5008|       1.4752|  1.763535e-02|          5.167529e-03|          5.167529e-03|   6.403893e+01|           8.323471e+00|           8.323471e+00|  -8.400794e-01|           1.616308e-01|           1.616308e-01| -2.230346e+00|          1.441326e-01|          1.441326e-01|             -6.144|            33.792|pflx_plaw              |                   1.079|flnc_band              |                   1.112|
