MCXC,OName,AName,RAh,RAm,RAs,DE-,DEd,DEm,DEs,RAdeg,DEdeg,GLON,GLAT,z,Cat,Sub-Cat,Scale,L500,M500,R500,Notes,Cat1,Cat2,Cat3,Cat4,L500r1,L500r2,L500r3,L500r4,r
J0108.9-1537,RXCJ0108.9-1537,A0151S,1,8,55.2,-,15,37,44,17.23,-15.629,143.261,-77.805,0.097,NORAS/REFLEX,REFLEX,1.795,0.815085,1.6888,0.8148,B,SGP,,,,0.947,,,,-0.4620253803966696
J0110.0-4555,RXCJ0110.0-4555,A2877,1,10,0.4,-,45,55,22,17.501,-45.923,293.051,-70.848,0.0238,NORAS/REFLEX,REFLEX,0.48,0.181484,0.7103,0.6249,"L,losStr",SGP,,,,0.962,,,,-0.4975262332906327
J0110.0+1358,RXC J0110.0+1358,A0152,1,10,5.5,,13,58,49,17.523,13.98,129.789,-48.643,0.0581,NORAS/REFLEX,NORAS,1.125,0.075898,0.4079,0.5139,,,,,,,,,,-0.4810777448351986
J0110.3+1938,RX J0110.3+1938,VMF98 8,1,10,18.0,,19,38,23,17.575,19.64,129.01,-43.009,0.317,160SD,160SD,4.626,0.362004,0.8715,0.6045,WARPS2,WARPSII,,,,1.256,,,,
J0110.9+3308,RXC J0110.9+3308,NGC 0410,1,10,58.1,,33,8,58,17.742,33.149,127.63,-29.544,0.0177,NORAS/REFLEX,NORAS,0.36,0.025452,0.2153,0.4205,,,,,,,,,,-0.5004702943463324
J0111.6-3811,RX J0111.6-3811,VMF98 9,1,11,36.6,-,38,11,12,17.903,-38.187,283.254,-78.16,0.122,160SD,160SD,2.194,0.052725,0.3124,0.4604,WARPS1,WARPS,,,,0.954,,,,
J0111.7+3327,A156,A0156,1,11,42.0,,33,27,11,17.925,33.453,127.774,-29.228,0.1173,BCS,eBCS,2.121,1.074001,1.9696,0.8519,,,,,,,,,,
J0112.1+3927,MS0109.4+3910,,1,12,8.6,,39,27,16,18.036,39.455,127.28,-23.242,0.208,EMSS,EMSS_1994,3.402,0.46987,1.1127,0.6825,,,,,,,,,,
J0112.2+3302,RXC J0112.2+3302,,1,12,17.3,,33,2,18,18.072,33.038,127.959,-29.63,0.1249,NORAS/REFLEX,NORAS,2.239,0.649432,1.4414,0.7658,,,,,,,,,,
J0113.0+1531,RXC J0113.0+1531,A0160,1,13,5.8,,15,31,1,18.274,15.517,130.598,-47.032,0.0442,NORAS/REFLEX,NORAS,0.87,0.200634,0.7449,0.6309,,BCS,,,,0.958,,,,-0.48783614612847764
J0113.1+2828,BVH2007 9,,1,13,11.0,,28,28,16,18.296,28.471,128.708,-34.157,0.262,400SD,400SD_SER,4.046,1.125536,1.818,0.7883,,,,,,,,,,
J0113.9-3145,RXC J0113.9-3145,S141a,1,13,54.2,-,31,45,7,18.476,-31.752,257.673,-83.272,0.0191,SGP,SGP,0.387,0.009035,0.1144,0.3405,,,,,,,,,,-0.49989052321253835
J0115.2+0019,RXCJ0115.2+0019,A0168,1,15,12.0,,0,19,48,18.8,0.33,135.648,-61.954,0.045,NORAS/REFLEX,REFLEX,0.885,0.467516,1.2471,0.7489,"L,losStr",BCS,,,,0.967,,,,-0.48748161942178503
J0116.1-1555,RXC J0116.1-1555,SCG 16,1,16,11.8,-,15,55,24,19.049,-15.923,151.331,-77.409,0.0448,SGP,SGP,0.881,0.104413,0.5,0.5523,,,,,,,,,,-0.4875562329967276
J0116.6-0330,BVH2007 10,,1,16,39.7,-,3,30,11,19.165,-3.503,138.333,-65.618,0.081,400SD,400SD_SER,1.527,0.077727,0.4075,0.5099,,WARPSII,,,,0.865,,,,-0.4700373797176457
J0117.6-2238,RX J0117.6-2238,A2894,1,17,36.6,-,22,38,13,19.402,-22.637,177.234,-82.559,0.207,SHARC,SHARC_BRIGHT,3.389,0.387547,0.9901,0.6567,,,,,,,,,,
J0117.8-5455,RXCJ0117.8-5455,,1,17,50.5,-,54,55,26,19.46,-54.924,294.899,-61.791,0.251,NORAS/REFLEX,REFLEX,3.922,4.935834,4.5164,1.0719,X *,,,,,,,,,
J0118.1-2658,RXCJ0118.1-2658,A2895,1,18,11.1,-,26,58,23,19.546,-26.973,212.963,-84.044,0.2275,NORAS/REFLEX,REFLEX,3.644,4.979596,4.6241,1.0896,,SGP,,,,0.949,,,,
J0120.9-1351,RXCJ0120.9-1351,CAN 010,1,20,58.9,-,13,51,31,20.246,-13.858,151.857,-75.045,0.0519,NORAS/REFLEX,REFLEX,1.012,0.763259,1.6737,0.8243,B,SGP,,,,0.927,,,,-0.48415935645105224
J0121.9+0021,RXC J0121.9+0021,A0181,1,21,58.3,,0,21,27,20.493,0.357,139.123,-61.551,0.1756,NORAS/REFLEX,NORAS,2.975,1.062813,1.8755,0.8216,,,,,,,,,,
J0122.6-2832,BVH2007 11,"VMF98 10, S0154",1,22,36.0,-,28,32,5,20.65,-28.535,226.274,-82.97,0.256,400SD,400SD_SER,3.979,0.734899,1.4085,0.7256,,160SD,,,,1.017,,,,
J0122.9-1245,RXC J0122.9-1245,A0188,1,22,55.1,-,12,45,50,20.73,-12.764,151.634,-73.855,0.123,SGP,SGP,2.21,0.644413,1.4366,0.7654,,,,,,,,,,
J0123.2+3327,RXJ0123.2+3327,RXJ0123.2+3327,1,23,12.2,,33,27,40,20.801,33.461,130.501,-28.943,0.0146,BCS,BCS,0.298,0.059605,0.3624,0.5007,,NORAS,,,,0.387,,,,-0.5017859376549552
J0123.6+3315,RXJ0123.6+3315,RXJ0123.6+3315,1,23,41.0,,33,15,40,20.921,33.261,130.647,-29.127,0.0164,BCS,BCS,0.334,0.140515,0.6106,0.5955,,,,,,,,,,-0.5009184642135889
J0124.5+0400,RX J0124.5+0400,VMF98 11,1,24,35.1,,4,0,49,21.146,4.014,138.605,-57.846,0.316,160SD,160SD,4.616,0.341836,0.8423,0.5979,,,,,,,,,,
J0124.8+0932,BVH2007 12,NGC524,1,24,48.1,,9,32,29,21.2,9.541,136.507,-52.449,0.0079,400SD,400SD_SER,0.162,0.000829,0.0268,0.2107,,,,,,,,,,-0.5035865316569401
J0125.0+0841,A193,A0193,1,25,3.8,,8,41,17,21.266,8.688,136.915,-53.268,0.0491,BCS,BCS,0.961,0.828139,1.7624,0.8393,,,,,,,,,,-0.48550811640418995
J0125.4+0144,A189,A0189,1,25,24.7,,1,44,28,21.353,1.741,140.101,-59.993,0.0181,BCS,BCS,0.368,0.061808,0.3697,0.5035,,,,,,,,,,-0.50022840813915
J0125.4+0145,RXC J0125.5+0145,N0533,1,25,29.9,,1,45,46,21.374,1.763,140.131,-59.967,0.0183,NORAS/REFLEX,NORAS,0.372,0.036561,0.2683,0.4525,,SGP,,,,1.082,,,,-0.4999198373307294
J0125.6-0124,RXCJ0125.6-0124,A0194,1,25,40.8,-,1,24,26,21.42,-1.407,142.066,-63.0,0.018,NORAS/REFLEX,REFLEX,0.366,0.069782,0.3981,0.5161,L,SGP,,,,1.163,,,,-0.5002437587696161
J0126.0-3758,RXC J0126.0-3758,A2911,1,26,4.6,-,37,58,36,21.519,-37.977,271.251,-76.939,0.081,SGP,SGP,1.527,0.293404,0.9159,0.668,,,,,,,,,,-0.46996478647131545
J0126.9+1912,BVH2007 13,"IC0115, A0195",1,26,54.5,,19,12,42,21.727,19.212,134.388,-42.87,0.0427,400SD,400SD_SER,0.842,0.009721,0.1177,0.3413,,,,,,,,,,-0.48836245593292715
J0127.2-1746,RXC J0127.2-1746,A0199,1,27,13.9,-,17,46,17,21.808,-17.771,166.211,-77.522,0.1459,SGP,SGP,2.555,1.047931,1.9006,0.8337,,,,,,,,,,
J0128.6-4324,RX J0128.6-4324,VMF98 13,1,28,36.9,-,43,24,57,22.154,-43.416,280.545,-72.06,0.288,160SD,160SD,4.329,0.276745,0.7572,0.5831,,,,,,,,,,
J0131.7+0033,RXC J0131.7+0033,A0208,1,31,42.4,,0,33,43,22.927,0.562,143.835,-60.665,0.0798,SGP,SGP,1.506,0.246166,0.8236,0.645,,,,,,,,,,-0.4705467254576804
J0131.8-1336,RXCJ0131.8-1336,A0209,1,31,53.0,-,13,36,34,22.971,-13.609,159.878,-73.508,0.206,NORAS/REFLEX,REFLEX,3.377,5.701343,5.1051,1.1349,,SGP,,,,0.982,,,,
J0132.6-0804,RXCJ0132.6-0804,,1,32,40.9,-,8,4,20,23.17,-8.072,151.971,-68.587,0.1489,NORAS/REFLEX,REFLEX,2.598,1.995234,2.8084,0.9487,X *,,,,,,,,,
J0132.9-4259,BVH2007 14,VMF98 14,1,32,54.6,-,42,59,46,23.228,-42.996,277.664,-72.039,0.0876,400SD,400SD_SER,1.639,0.092198,0.4501,0.526,,160SD,,,,1.004,,,,-0.46670528097225117
