MCXC,OName,AName,RAh,RAm,RAs,DE-,DEd,DEm,DEs,RAdeg,DEdeg,GLON,GLAT,z,Cat,Sub-Cat,Scale,L500,M500,R500,Notes,Cat1,Cat2,Cat3,Cat4,L500r1,L500r2,L500r3,L500r4,r
J0624.6-3720,RXCJ0624.6-3720,A3390,6,24,36.7,-,37,20,9,96.153,-37.336,245.14,-21.05,0.0333,NORAS/REFLEX,REFLEX,0.664,0.138672,0.599,0.5887,"D,two maxima/E-W",,,,,,,,,-0.49299120949868647
J0624.7-5240,MS0623.6-5238,,6,24,47.2,-,52,40,44,96.197,-52.679,261.224,-25.165,0.074,EMSS,EMSS_1994,1.406,0.171321,0.6629,0.6011,,,,,,,,,,-0.4733641504816449
J0625.2-5521,MS0624.3-5519,,6,25,16.3,-,55,21,6,96.318,-55.352,264.136,-25.643,0.118,EMSS,EMSS_1994,2.132,0.568739,1.336,0.7483,,,,,,,,,,
J0626.3-5341,RXCJ0626.3-5341,A3391,6,26,22.8,-,53,41,44,96.595,-53.695,262.377,-25.149,0.0514,NORAS/REFLEX,REFLEX,1.003,1.160127,2.1612,0.8978,GR3,,,,,,,,,-0.48439419815992824
J0627.1-3529,RXCJ0627.1-3529,A3392,6,27,8.2,-,35,29,20,96.784,-35.489,243.456,-19.963,0.0554,NORAS/REFLEX,REFLEX,1.076,0.769293,1.6778,0.824,,CIZAI,,,,1.128,,,,-0.48248213100365367
J0627.2-5428,RXCJ0627.2-5428,A3395,6,27,14.4,-,54,28,12,96.81,-54.47,263.243,-25.188,0.0506,NORAS/REFLEX,REFLEX,0.989,1.375477,2.3989,0.9298,"PL,GR3",,,,,,,,,-0.4847665841449192
J0628.8-4143,RXCJ0628.8-4143,A3396,6,28,49.8,-,41,43,42,97.207,-41.728,249.893,-21.649,0.1759,NORAS/REFLEX,REFLEX,2.979,4.230388,4.3533,1.0877,,,,,,,,,,
J0629.1+4606,RXC J0629.1+4606,,6,29,9.8,,46,6,4,97.291,46.101,168.695,15.586,0.129,CIZA,CIZAII,2.302,1.396706,2.2924,0.8926,,,,,,,,,,
J0631.3-5610,RXCJ0631.3-5610,,6,31,20.7,-,56,10,20,97.836,-56.172,265.216,-24.972,0.054,NORAS/REFLEX,REFLEX,1.051,0.496316,1.2855,0.7544,L,,,,,,,,,-0.48311993680266996
J0631.3+2500,RXC J0631.3+2500,ZwCl 0628.1+2502,6,31,21.4,,25,0,58,97.839,25.016,188.373,7.022,0.081,CIZA,CIZAI,1.527,1.711944,2.685,0.956,,,,,,,,,,-0.46997908144381995
J0632.0+2519,RXC J0632.0+2519,,6,32,1.4,,25,19,38,98.006,25.327,188.161,7.296,0.075,CIZA,CIZAII,1.424,0.718135,1.5874,0.8039,,,,,,,,,,-0.47291956298311144
J0634.5-6226,BVH2007 76,,6,34,34.1,-,62,26,46,98.642,-62.446,272.12,-25.756,0.27,400SD,400SD_SER,4.135,0.84968,1.522,0.7408,,,,,,,,,,
J0635.0+2231,RXC J0635.0+2231,,6,35,3.4,,22,31,30,98.764,22.525,190.998,6.66,0.068,CIZA,CIZAI,1.302,3.033343,3.8399,1.0816,,,,,,,,,,-0.4763631381131302
J0635.4-6234,BVH2007 77,A3398,6,35,28.4,-,62,34,6,98.868,-62.568,272.274,-25.674,0.157,400SD,400SD_SER,2.715,0.377075,1.0108,0.6729,a part of A3398,,,,,,,,,
J0637.3-4828,RXCJ0637.3-4828,A3399,6,37,18.9,-,48,28,42,99.329,-48.478,257.323,-22.193,0.2026,NORAS/REFLEX,REFLEX,3.333,3.530143,3.8211,1.0317,losStr,,,,,,,,,
J0638.1+4747,RXC J0638.1+4747,ZwCl 0634.1+4750,6,38,7.5,,47,47,27,99.531,47.791,167.664,17.64,0.174,CIZA,CIZAII,2.953,4.721468,4.6614,1.1135,,,,,,,,,,
J0638.7-5358,RXCJ0638.7-5358,S0592,6,38,46.5,-,53,58,18,99.694,-53.972,263.134,-23.433,0.2266,NORAS/REFLEX,REFLEX,3.633,9.536792,6.8771,1.2442,,,,,,,,,,
J0640.1-1253,RXC J0640.1-1253,,6,40,8.0,-,12,53,19,100.033,-12.889,223.213,-8.308,0.135,CIZA,CIZAI,2.393,5.82214,5.4507,1.1889,,,,,,,,,,
J0643.4+4214,RXC J0643.4+4214,,6,43,24.9,,42,14,42,100.854,42.245,173.418,16.469,0.091,CIZA,CIZAI,1.696,3.603233,4.1975,1.1059,,,,,,,,,,-0.4650124095743243
J0645.4-5413,RXCJ0645.4-5413,A3404,6,45,29.3,-,54,13,8,101.372,-54.219,263.67,-22.546,0.1644,NORAS/REFLEX,REFLEX,2.82,6.709122,5.8164,1.2028,losStr,,,,,,,,,
J0647.8+7014,MACSJ0647.7+7015,MCS  J0647.7+7015,6,47,50.2,,70,14,56,101.959,70.249,144.843,25.115,0.584,MACS,MACS_MJFV,6.601,13.13976,8.8556,1.18,,,,,,,,,,
J0649.3+1801,RXC J0649.3+1801,,6,49,22.8,,18,1,0,102.345,18.017,196.571,7.668,0.064,CIZA,CIZAI,1.231,1.182909,2.1684,0.8951,,,,,,,,,,-0.4783172776429021
J0657.0+4246,RXC J0657.0+4246,,6,57,0.7,,42,46,49,104.253,42.78,173.83,19.001,0.125,CIZA,CIZAII,2.241,1.029484,1.9088,0.8409,,,,,,,,,,
J0658.5-5556,RXCJ0658.5-5556,1ES0657,6,58,31.1,-,55,56,49,104.63,-55.947,266.025,-21.247,0.2965,NORAS/REFLEX,REFLEX,4.418,20.425901,10.3599,1.3902,losStr,,,,,,,,,
J0704.4+6318,RXC J0704.4+6318,A0566,7,4,24.5,,63,18,58,106.102,63.316,152.708,25.469,0.098,NORAS/REFLEX,NORAS,1.812,1.576739,2.5235,0.9312,,BCS,,,,1.39,,,,-0.4615256170208909
J0707.0+2706,RXC J0707.0+2706,,7,7,2.6,,27,6,23,106.761,27.106,189.881,15.169,0.062,CIZA,CIZAII,1.195,0.560566,1.3771,0.7699,,,,,,,,,,-0.47927663142801813
J0708.1+7151,RXC J0708.1+7151,A0565,7,8,7.6,,71,51,25,107.032,71.857,143.325,26.967,0.1053,NORAS/REFLEX,NORAS,1.93,0.769028,1.6204,0.8015,,eBCS,,,,0.827,,,,
J0710.4+2240,RXC J0710.4+2240,,7,10,24.7,,22,40,23,107.603,22.673,194.399,14.104,0.289,CIZA,CIZAII,4.34,6.603054,5.2347,1.1104,,,,,,,,,,
J0711.7+3219,RXC J0711.7+3219,,7,11,47.6,,32,19,8,107.948,32.319,185.248,18.089,0.0672,CIZA,CIZAI,1.287,1.012013,1.9673,0.8657,,,,,,,,,,-0.47676167945312314
J0712.0-6030,RXCJ0712.0-6030,AM 0711,7,12,5.4,-,60,30,6,108.022,-60.502,271.258,-20.943,0.0322,NORAS/REFLEX,REFLEX,0.643,0.081904,0.4348,0.5292,,,,,,,,,,-0.49348972587321127
J0714.3+5441,A572,A0572,7,14,19.2,,54,41,6,108.58,54.685,162.344,25.047,0.1043,BCS,eBCS,1.914,0.646986,1.4594,0.7742,,,,,,,,,,
J0716.7+5324,RXC J0716.7+5324,Zw 0712.9+5834,7,16,42.6,,53,24,28,109.178,53.408,163.804,25.119,0.0644,NORAS/REFLEX,NORAS,1.238,0.391325,1.1043,0.7148,,BCS,,,,1.0,,,,-0.4781252044382328
J0717.1-3621,RXC J0717.1-3621,,7,17,10.8,-,36,21,37,109.295,-36.36,248.337,-10.953,0.032,CIZA,CIZAI,0.639,0.366151,1.0838,0.7176,,,,,,,,,,-0.49365637596716605
J0717.4-1119,RXC J0717.4-1119,,7,17,27.0,-,11,19,53,109.363,-11.331,225.965,0.529,0.075,CIZA,CIZAI,1.424,2.204624,3.1457,1.0098,,,,,,,,,,-0.47292184492009487
J0717.5+3745,MACSJ0717.5+3745,MCS  J0717.5+3745,7,17,31.7,,37,45,32,109.382,37.759,180.244,21.048,0.546,MACS,MACS_MJFV,6.388,22.71567,12.9576,1.36,,,,,,,,,,
J0719.5+0043,RXC J0719.5+0043,,7,19,34.6,,0,43,7,109.894,0.719,215.51,6.587,0.2197,CIZA,CIZAI,3.549,6.11578,5.2729,1.1416,,,,,,,,,,
J0720.2+7132,BVH2007 78,,7,20,17.8,,71,32,11,110.074,71.536,143.757,27.899,0.268,400SD,400SD_SER,4.113,0.454786,1.0413,0.6532,,,,,,,,,,
J0720.3+2348,RXC J0720.2+2348,,7,20,18.0,,23,48,56,110.075,23.816,194.245,16.642,0.168,CIZA,CIZAII,2.87,2.466421,3.1513,0.9793,,,,,,,,,,
J0720.8+7108,BVH2007 79,,7,20,53.8,,71,8,57,110.224,71.149,144.197,27.93,0.23,400SD,400SD_SER,3.674,0.401524,0.9941,0.6522,,,,,,,,,,
J0721.3+5547,RXC J0721.3+5547,A0576,7,21,22.2,,55,47,11,110.343,55.786,161.364,26.247,0.0381,NORAS/REFLEX,NORAS,0.755,0.75714,1.681,0.8291,,BCS,,,,0.955,,,,-0.4907548593043939
J0724.9+6658,RXC J0724.9+6658,A0578,7,24,55.2,,66,58,43,111.23,66.979,148.936,28.056,0.0863,NORAS/REFLEX,NORAS,1.617,0.469019,1.2147,0.7326,,,,,,,,,,-0.46733877526221074
J0726.0+4122,RXC J0726.0+4122,A0580,7,26,0.5,,41,22,56,111.502,41.382,177.034,23.69,0.112,NORAS/REFLEX,NORAS,2.037,1.171477,2.0846,0.8697,,eBCS,,,,0.781,,,,
J0728.9+2935,RXC J0728.9+2935,,7,28,57.1,,29,35,11,112.238,29.586,189.334,20.564,0.3976,NORAS/REFLEX,NORAS,5.353,4.220339,3.6493,0.9448,?,,,,,,,,,
J0729.4+2436,RXC J0729.4+2436,,7,29,28.8,,24,36,20,112.37,24.606,194.315,18.878,0.161,CIZA,CIZAII,2.772,3.04794,3.6042,1.0266,,,,,,,,,,
J0729.7+7915,RXC J0729.7+7915,A0575,7,29,46.1,,79,15,13,112.442,79.254,134.996,28.399,0.1058,NORAS/REFLEX,NORAS,1.938,0.52398,1.2819,0.7411,,,,,,,,,,
J0732.3+3137,RXC J0732.3+3137,A0586,7,32,22.0,,31,37,47,113.092,31.63,187.538,21.946,0.171,NORAS/REFLEX,NORAS,2.912,5.623645,5.1975,1.1558,,BCS,,,,1.094,,,,
J0736.4+3925,RXC J0736.4+3925,,7,36,25.4,,39,25,60,114.106,39.433,179.684,25.068,0.1177,NORAS/REFLEX,NORAS,2.127,2.518069,3.3105,1.0128,C,,,,,,,,,
J0737.6+5920,RXC J0737.6+5920,,7,37,41.4,,59,20,25,114.422,59.34,157.726,28.895,0.0384,NORAS/REFLEX,NORAS,0.761,0.04628,0.3058,0.4697,,,,,,,,,,-0.4907241186854222
J0738.1-7506,RXCJ0738.1-7506,,7,38,9.0,-,75,6,24,114.538,-75.107,287.035,-23.226,0.111,NORAS/REFLEX,REFLEX,2.022,0.910497,1.7889,0.8268,,,,,,,,,,
J0738.2+0101,RXC J0738.2+0101,,7,38,16.6,,1,1,51,114.569,1.031,217.401,10.883,0.189,CIZA,CIZAII,3.156,3.427024,3.7913,1.0339,,,,,,,,,,
J0738.9+6956,MS0733.6+7003,A0588,7,38,59.1,,69,56,50,114.746,69.947,145.588,29.419,0.117,EMSS,EMSS_1994,2.116,0.26334,0.836,0.6403,,,,,,,,,,
J0740.9+5525,RXC J0740.9+5525,UGC 03957,7,40,59.4,,55,25,55,115.248,55.432,162.22,28.935,0.034,NORAS/REFLEX,NORAS,0.677,0.488395,1.2902,0.7601,,BCS,,,,1.139,,,,-0.492706332439289
J0741.5+2557,RXC J0741.5+2557,,7,41,30.2,,25,57,46,115.376,25.963,194.016,21.903,0.1577,NORAS/REFLEX,NORAS,2.725,0.677439,1.4441,0.7577,,,,,,,,,,
J0741.7+7414,RXC J0741.7+7414,Zw 0735.7+7421,7,41,44.8,,74,14,52,115.437,74.248,140.645,29.437,0.2149,NORAS/REFLEX,NORAS,3.489,4.868103,4.6049,1.0931,,EMSS_1994,eBCS,,,0.651,1.02,,,
J0742.6+0922,RXC J0742.6+0922,A0592,7,42,38.6,,9,22,8,115.661,9.369,210.242,15.593,0.062,CIZA,CIZAII,1.195,0.530802,1.332,0.7614,,,,,,,,,,-0.4792543781618095
J0744.8+3927,MACSJ0744.9+3927,MCS  J0744.9+3927,7,44,52.6,,39,27,26,116.219,39.457,180.125,26.651,0.697,MACS,MACS_MJFV,7.134,17.377668,6.94,1.04,,,,,,,,,,
J0745.1-5404,RXC J0745.1-5404,ESO 163-IG015,7,45,9.6,-,54,4,44,116.29,-54.079,266.844,-14.359,0.074,CIZA,CIZAII,1.406,1.279395,2.259,0.9045,,,,,,,,,,-0.4734179695895777
J0746.6+3100,RXC J0746.6+3100,,7,46,37.3,,31,0,49,116.655,31.014,189.232,24.635,0.0579,NORAS/REFLEX,NORAS,1.121,0.173471,0.6754,0.608,,,,,,,,,,-0.48125325027997395
J0747.5-1917,RXC J0747.5-1917,PKS0745-19,7,47,32.4,-,19,17,32,116.885,-19.292,236.442,3.034,0.1028,CIZA,CIZAI,1.89,10.487506,7.9855,1.365,,,,,,,,,,
J0748.1+1832,RXC J0748.1+1832,,7,48,9.5,,18,32,47,117.039,18.546,202.021,20.593,0.04,NORAS/REFLEX,NORAS,0.791,0.110717,0.5199,0.5603,,,,,,,,,,-0.4898941910099727
J0751.3+5012,RXC J0751.3+5012,UGC 04052,7,51,22.5,,50,12,45,117.844,50.213,168.387,29.844,0.0228,NORAS/REFLEX,NORAS,0.46,0.076502,0.4197,0.5245,,BCS,,,,1.538,,,,-0.4979471203975412
J0751.4+1730,ZwCl1432,ZwCl1432,7,51,24.0,,17,30,47,117.85,17.513,203.36,20.901,0.1894,BCS,eBCS,3.161,3.479201,3.8253,1.0369,,,,,,,,,,
J0753.4+2921,A602,A0602,7,53,24.2,,29,21,58,118.351,29.366,191.463,25.517,0.0621,BCS,BCS,1.197,0.591999,1.4236,0.7785,,,,,,,,,,-0.4792353129874091
J0756.9+3839,RXC J0756.9+3839,,7,56,55.6,,38,39,0,119.232,38.65,181.638,28.732,0.2203,NORAS/REFLEX,NORAS,3.556,1.851188,2.5432,0.8951,,,,,,,,,,
J0757.7-5315,RXC J0757.7-5315,S606,7,57,46.5,-,53,15,49,119.444,-53.264,267.003,-12.327,0.039,CIZA,CIZAI,0.772,0.383258,1.1092,0.7216,,,,,,,,,,-0.4903249429459783
J0757.9-2157,RXC J0757.9-2157,,7,57,58.8,-,21,57,44,119.495,-21.962,239.991,3.771,0.049,CIZA,CIZAII,0.959,0.970025,1.9409,0.8668,,,,,,,,,,-0.4855422551734983
J0758.3+2640,RXC J0758.3+2640,,7,58,21.3,,26,40,45,119.589,26.679,194.673,25.699,0.2315,NORAS/REFLEX,NORAS,3.692,1.546824,2.2599,0.8571,,,,,,,,,,
J0759.7+5400,RXC J0759.7+5400,Zw 0755.8+5408,7,59,42.8,,54,0,6,119.928,54.002,164.152,31.497,0.1032,NORAS/REFLEX,NORAS,1.896,1.08801,2.0052,0.861,,BCS,,,,1.045,,,,
J0800.9+3602,RXC J0800.9+3602,A0611,8,0,58.9,,36,2,50,120.245,36.047,184.742,28.904,0.288,NORAS/REFLEX,NORAS,4.329,5.332254,4.5987,1.0638,,eBCS,,,,1.393,,,,
J0802.1-1926,RXC J0802.1-1926,,8,2,9.6,-,19,26,1,120.54,-19.434,238.336,5.923,0.14,CIZA,CIZAII,2.468,1.36728,2.2449,0.8831,,,,,,,,,,
J0804.3+4646,RXC J0804.3+4646,A0616,8,4,22.0,,46,46,56,121.091,46.782,172.667,31.532,0.1868,NORAS/REFLEX,NORAS,3.126,1.421306,2.2205,0.8657,,,,,,,,,,
J0805.7+4541,RXC J0805.7+4541,A0620,8,5,43.3,,45,41,25,121.43,45.69,173.974,31.62,0.1353,NORAS/REFLEX,NORAS,2.397,0.868863,1.7085,0.8076,,,,,,,,,,
J0809.6+2811,BVH2007 80,,8,9,41.0,,28,11,58,122.421,28.199,193.928,28.561,0.399,400SD,400SD_SER,5.365,3.745412,3.3891,0.9213,see 400SD paper Sec. 4.1,,,,,,,,,
J0809.9-0258,RXC J0809.9-0258,,8,9,55.7,-,2,58,56,122.482,-2.982,224.89,15.947,0.27,CIZA,CIZAII,4.135,7.369961,5.682,1.1492,,,,,,,,,,
J0810.4+4216,BVH2007 81,VMF98 47,8,10,24.2,,42,16,19,122.601,42.272,178.097,31.949,0.064,400SD,400SD_SER,1.231,0.343477,1.0201,0.6962,,160SD,,,,1.005,,,,-0.47827644498271177
J0811.0+1644,RXC J0811.0+1644,A0635,8,11,2.4,,16,44,6,122.76,16.735,206.116,24.923,0.0925,NORAS/REFLEX,NORAS,1.721,0.351374,1.0142,0.6885,,,,,,,,,,-0.46427309155942154
J0811.1+7002,RXC J0811.1+7002,A0621,8,11,8.0,,70,2,22,122.783,70.039,145.208,32.149,0.223,NORAS/REFLEX,NORAS,3.589,5.329782,4.8364,1.1079,,eBCS,,,,0.8,,,,
J0812.5-5714,RXC J0812.5-5714,,8,12,30.3,-,57,14,6,123.126,-57.235,271.597,-12.509,0.062,CIZA,CIZAI,1.195,1.969423,2.9629,0.994,,,,,,,,,,-0.47927686458074403
J0815.4-0308,RXC J0815.4-0308,3C 196.1,8,15,28.6,-,3,8,31,123.869,-3.142,225.746,17.074,0.198,CIZA,CIZAII,3.274,2.843394,3.3605,0.99,,,,,,,,,,
J0815.9+6253,MS0811.6+6301,,8,15,59.8,,62,53,9,123.999,62.886,153.587,33.515,0.312,EMSS,EMSS_2004,4.576,1.01435,1.6401,0.7477,,,,,,,,,,
J0816.5+7424,MS0810.5+7433,,8,16,30.8,,74,24,14,124.128,74.404,140.065,31.735,0.282,EMSS,EMSS_1994,4.266,0.902703,1.5644,0.7443,,,,,,,,,,
J0817.4-0730,RXC J0817.4-0730,A0644,8,17,24.5,-,7,30,46,124.352,-7.513,229.93,15.287,0.0704,CIZA,CIZAI,1.344,3.090208,3.8772,1.0843,,,,,,,,,,-0.4751821421638795
J0818.2+0122,RXC J0818.2+0122,,8,18,13.7,,1,22,3,124.557,1.367,221.942,19.866,0.0879,CIZA,CIZAI,1.644,0.889371,1.7924,0.8336,,,,,,,,,,-0.46655032962826326
J0818.9+5654,RX J0818.9+5654,VMF98 48,8,18,57.8,,56,54,34,124.741,56.909,160.744,34.272,0.26,160SD,160SD,4.024,0.300251,0.8135,0.6034,,,,,,,,,,
J0819.3+7054,RX J0819.3+7054,VMF98 49,8,19,22.6,,70,54,48,124.844,70.913,144.046,32.674,0.226,160SD,160SD,3.626,0.217842,0.6868,0.5774,WARPS2,WARPSII,,,,1.395,,,,
J0819.6+6336,RXJ0819.6+6336,RXJ0819.6+6336,8,19,39.1,,63,36,36,124.913,63.61,152.669,33.848,0.119,BCS,BCS,2.148,1.43439,2.3468,0.9026,,,,,,,,,,
J0819.9+5634,BVH2007 82,VMF98 50,8,19,54.7,,56,34,39,124.978,56.577,161.14,34.413,0.26,400SD,400SD_SER,4.024,0.864741,1.5505,0.7481,,160SD,,,,1.02,,,,
J0820.4+5645,BVH2007 83,VMF98 51,8,20,26.6,,56,45,27,125.111,56.757,160.919,34.48,0.0429,400SD,400SD_SER,0.846,0.015008,0.1534,0.3727,,160SD,,,,1.089,,,,-0.4884307687302689
J0820.9-5704,RXC J0820.9-5704,,8,20,59.6,-,57,4,47,125.248,-57.08,272.087,-11.451,0.061,CIZA,CIZAI,1.177,0.783054,1.6896,0.8245,,,,,,,,,,-0.47977388503133245
J0821.0+0751,RXC J0821.0+0751,RXJ0820.9+0751,8,21,1.8,,7,51,58,125.257,7.866,216.076,23.474,0.11,NORAS/REFLEX,NORAS,2.006,1.110969,2.0211,0.8614,,eBCS,,,,1.071,,,,
J0821.8+0112,RXCJ0821.8+0112,A0653,8,21,51.7,,1,12,42,125.465,1.212,222.551,20.589,0.0822,NORAS/REFLEX,REFLEX,1.547,0.644568,1.4788,0.7833,B,,,,,,,,,-0.4693827438398996
J0822.1+4705,RXC J0822.1+4705,A0646,8,22,9.7,,47,5,60,125.54,47.1,172.652,34.586,0.1303,NORAS/REFLEX,NORAS,2.322,3.000609,3.6508,1.0419,,BCS,,,,0.941,,,,
J0823.1+0421,ZwCl1665,ZwCl1665,8,23,11.5,,4,21,22,125.798,4.356,219.739,22.365,0.0293,BCS,BCS,0.587,0.191602,0.7315,0.63,,,,,,,,,,-0.49491146389239277
J0824.1+0327,MS0821.5+0337,,8,24,10.8,,3,27,45,126.045,3.463,220.717,22.166,0.347,EMSS,EMSS_2004,4.912,0.526782,1.0693,0.6398,,,,,,,,,,
J0825.5+4707,RXC J0825.5+4707,A0655,8,25,30.3,,47,7,48,126.376,47.13,172.662,35.155,0.1267,NORAS/REFLEX,NORAS,2.267,2.767123,3.4839,1.027,,BCS,,,,1.112,,,,
J0825.7+8218,RXC J0825.7+8218,A0625,8,25,44.6,,82,18,36,126.436,82.31,131.071,29.968,0.2,NORAS/REFLEX,NORAS,3.3,2.384622,3.0141,0.9541,,,,,,,,,,
J0825.9+0415,ZwCl1693,ZwCl1693,8,25,59.3,,4,15,47,126.497,4.263,220.178,22.939,0.2248,BCS,eBCS,3.611,4.103032,4.1177,1.0493,,,,,,,,,,
J0826.1+2625,RX J0826.1+2625,VMF98 52,8,26,6.4,,26,25,47,126.527,26.43,197.123,31.526,0.351,160SD,160SD,4.949,0.62385,1.1817,0.6605,,,,,,,,,,
J0826.4-2721,RXC J0826.4-2721,S610,8,26,27.7,-,27,21,18,126.615,-27.355,248.068,6.252,0.041,CIZA,CIZAI,0.81,0.505538,1.3115,0.7625,,,,,,,,,,-0.4893861977185109
J0826.4+3125,RX J0826.4+3125,VMF98 53,8,26,29.7,,31,25,15,126.624,31.421,191.463,32.94,0.209,160SD,160SD,3.415,0.205784,0.672,0.5767,,,,,,,,,,
J0826.7-2007,RXC J0826.7-2007,S611,8,26,46.2,-,20,7,58,126.692,-20.133,242.098,10.41,0.0876,CIZA,CIZAI,1.639,0.955176,1.8725,0.846,,,,,,,,,,-0.4666883935227154
J0828.0+4445,A667,A0667,8,28,4.6,,44,45,50,127.019,44.764,175.593,35.431,0.145,BCS,BCS,2.541,2.549942,3.2709,0.9994,,,,,,,,,,
J0828.6+3025,RXC J0828.6+3025,A0671,8,28,38.9,,30,25,41,127.162,30.428,192.746,33.145,0.0503,NORAS/REFLEX,NORAS,0.983,0.413163,1.1524,0.7283,,BCS,,,,1.099,,,,-0.48490790715709875
J0830.9+6551,RXC J0830.9+6551,A0665,8,30,58.3,,65,51,1,127.743,65.85,149.768,34.7,0.1818,NORAS/REFLEX,NORAS,3.059,8.997743,6.8668,1.2635,,BCS,,,,0.988,,,,
J0837.4+1458,A689,A0689,8,37,25.4,,14,58,59,129.356,14.983,210.708,30.096,0.2793,BCS,BCS,4.237,19.026438,10.0572,1.3853,,,,,,,,,,
J0838.1+2506,BVH2007 NS 3,CGCG120-014,8,38,10.3,,25,6,2,129.543,25.101,199.575,33.735,0.0286,400SD,400SD_NONSER,0.574,0.05181,0.3297,0.4831,,,,,,,,,,-0.4953014810276496
J0838.5+1948,BVH2007 84,,8,38,31.2,,19,48,17,129.63,19.805,205.585,32.117,0.123,400SD,400SD_SER,2.21,0.300903,0.9029,0.6556,,,,,,,,,,
J0840.5+0543,RXC J0840.5+0543,,8,40,31.2,,5,43,60,130.13,5.733,220.594,26.827,0.2651,NORAS/REFLEX,NORAS,4.081,3.221154,3.4434,0.9742,,,,,,,,,,
J0841.1+6422,BVH2007 85,VMF98 56,8,41,7.4,,64,22,41,130.281,64.378,151.273,36.043,0.343,400SD,400SD_SER,4.875,1.474773,2.0097,0.7908,,160SD,,,,1.026,,,,
J0841.7+7046,RX J0841.7+7046,VMF98 57,8,41,43.4,,70,46,53,130.431,70.781,143.664,34.484,0.235,160SD,160SD,3.734,0.209832,0.6667,0.5698,,,,,,,,,,
J0841.9-1729,RXC J0841.9-1729,A3411,8,41,54.7,-,17,29,5,130.478,-17.485,241.961,14.864,0.1687,CIZA,CIZAI,2.88,4.074893,4.2779,1.0841,,,,,,,,,,
J0842.8+5023,RX J0842.8+5023,VMF98 58,8,42,52.8,,50,23,16,130.72,50.388,168.648,38.058,0.423,160SD,160SD,5.556,0.55571,1.038,0.6153,,,,,,,,,,
J0842.9+3621,RXC J0842.9+3621,A0697,8,42,56.7,,36,21,45,130.736,36.362,186.363,37.261,0.282,NORAS/REFLEX,NORAS,4.266,11.891012,7.5349,1.257,,BCS,,,,0.809,,,,
J0842.9+2928,ZwCl1883,ZwCl1883,8,42,59.3,,29,28,34,130.747,29.476,194.781,35.928,0.194,BCS,eBCS,3.222,3.748058,3.989,1.0498,,EMSS_1994,,,,0.739,,,,
J0844.9+4258,RXC J0844.9+4258,,8,44,56.7,,42,58,54,131.236,42.982,178.08,38.339,0.0541,NORAS/REFLEX,NORAS,1.053,0.095185,0.4696,0.5393,,,,,,,,,,-0.4830655504722886
J0847.1+3449,RX J0847.1+3449,VMF98 59,8,47,11.3,,34,49,16,131.797,34.821,188.454,37.871,0.56,160SD,160SD,6.469,1.91641,1.9683,0.7216,,,,,,,,,,
J0847.7+7741,RXC J0847.7+7741,A0686,8,47,45.9,,77,41,31,131.941,77.692,135.697,32.528,0.26,NORAS/REFLEX,NORAS,4.024,3.744904,3.7899,1.0078,,,,,,,,,,
J0848.7+4456,RX J0848.7+4456,VMF98 60,8,48,47.6,,44,56,21,132.198,44.939,175.607,39.106,0.574,160SD,160SD,6.547,0.599931,0.958,0.5645,RDCS/WARPS2,WARPSII,,,,1.239,,,,
J0848.9+4452,RX J0848.9+4452,VMF98 61,8,48,56.3,,44,52,16,132.235,44.871,175.696,39.131,1.261,160SD,160SD,8.349,2.802865,1.3868,0.4889,RDCS,,,,,,,,,
J0849.1+3731,BVH2007 86,"VMF98 62, A0708",8,49,11.5,,37,31,23,132.298,37.523,185.121,38.657,0.24,400SD,400SD_SER,3.794,0.355892,0.9165,0.6324,a part of A0708,160SD,SHARC_BRIGHT,WARPSII,,1.018,1.475,1.816,,
J0850.2+3603,RXC J0850.2+3603,ZwCl1953,8,50,12.0,,36,3,36,132.55,36.06,187.013,38.665,0.378,NORAS/REFLEX,NORAS,5.188,11.301955,6.7616,1.1693,,BCS,,,,1.656,,,,
J0851.9+1159,WARP J0851.9+1159,,8,51,57.8,,11,59,43,132.991,11.995,215.567,32.125,0.115,WARPS,WARPSII,2.085,0.075197,0.3899,0.4969,,,,,,,,,,
J0852.2-0532,MS0849.7-0521,,8,52,15.4,-,5,32,57,133.064,-5.549,233.009,23.675,0.192,EMSS,EMSS_1994,3.195,0.651822,1.375,0.7366,,,,,,,,,,
J0852.5+1618,BVH2007 87,VMF98 63,8,52,32.9,,16,18,7,133.137,16.302,210.917,33.964,0.098,400SD,400SD_SER,1.812,0.132758,0.5581,0.5631,,160SD,,,,1.03,,,,-0.4615470157902329
J0853.2+5759,BVH2007 88,VMF98 64,8,53,13.4,,57,59,44,133.306,57.996,158.786,38.733,0.475,400SD,400SD_SER,5.937,2.070857,2.2169,0.7764,,160SD,,,,1.023,,,,
J0856.1+3756,RXC J0856.1+3756,,8,56,8.5,,37,56,52,134.036,37.948,184.772,40.069,0.4107,NORAS/REFLEX,NORAS,5.459,10.215037,6.1886,1.121,,,,,,,,,,
J0858.4+1357,RX J0858.4+1357,VMF98 66,8,58,25.0,,13,57,16,134.604,13.954,214.196,34.36,0.488,160SD,160SD,6.025,0.772587,1.202,0.6299,cluster+AGN(z=0.494)SSHARC/WARPS2,SHARC_SOUTH,WARPSII,,,0.793,1.094,,,
J0900.0+3920,BVH2007 89,,9,0,4.8,,39,20,24,135.02,39.34,183.033,40.953,0.0951,400SD,400SD_SER,1.764,0.116947,0.5176,0.5497,,,,,,,,,,-0.4629615134780257
